GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pay My Buddy,com.paymybuddy.pmb.service.implementation,UserServiceImpl,0,79,0,0,0,22,0,4,0,4
Pay My Buddy,com.paymybuddy.pmb.service.implementation,TransactionServiceImpl,0,237,3,15,0,55,3,12,0,6
Pay My Buddy,com.paymybuddy.pmb.service.implementation,ConnectionServiceImpl,0,60,0,6,0,15,0,5,0,2
Pay My Buddy,com.paymybuddy.pmb.service.implementation,ProfileServiceImpl,0,55,1,3,0,15,1,4,0,3
Pay My Buddy,com.paymybuddy.pmb,PayMyBuddyApplication,5,3,0,0,2,1,1,1,1,1
Pay My Buddy,com.paymybuddy.pmb.controller,ProfileController,7,56,0,2,2,15,0,5,0,4
Pay My Buddy,com.paymybuddy.pmb.controller,UserController,0,68,0,4,0,19,0,7,0,5
Pay My Buddy,com.paymybuddy.pmb.controller,DashboardController,14,116,0,4,4,27,0,7,0,5
Pay My Buddy,com.paymybuddy.pmb.controller,ConnectionController,7,52,0,2,2,14,0,5,0,4
